
 Sim No:, 1,, N:, 1.0,, d:, 4.357 
Step No:, 1,, N_bact:, 80,, N_food:,1519 
 
Symbol:, pos x:, pos y: 
O,3.74,3.05
O,3.72,4.25
O,2.82,4.99
O,9.29,9.43
O,8.57,0.97
O,1.06,9.90
O,4.81,1.92
O,9.79,4.31
O,1.07,5.92
O,6.42,1.91
O,6.65,3.66
O,0.34,4.60
O,0.49,8.87
O,1.48,2.21
O,9.00,4.00
O,5.23,4.12
O,3.89,8.43
O,2.30,2.08
O,7.44,8.27
O,5.28,2.67
O,3.46,2.04
O,0.72,2.31
O,1.66,6.19
O,1.82,0.52
O,0.49,8.08
O,0.26,8.18
O,8.91,7.44
O,1.20,6.28
O,4.78,1.60
O,1.56,2.53
O,8.91,1.99
O,8.86,7.96
O,5.44,3.81
O,7.54,6.22
O,3.05,9.31
O,0.21,6.23
O,1.27,2.68
O,2.02,4.22
O,0.95,3.09
O,6.48,0.52
O,9.85,2.86
O,3.54,5.29
O,8.98,5.49
O,7.92,6.79
O,0.05,2.08
O,8.05,2.29
O,9.26,1.37
O,5.92,9.94
O,3.50,5.29
O,8.23,5.35
O,9.11,1.85
O,9.20,3.01
O,4.52,9.54
O,0.57,9.36
O,4.03,1.47
O,8.90,4.09
O,9.80,4.22
O,8.79,9.50
O,6.24,5.27
O,9.17,5.71
O,7.51,3.17
O,5.11,0.67
O,7.22,9.52
O,6.47,4.44
O,5.53,1.00
O,7.61,2.04
O,8.90,6.09
O,0.35,8.72
O,0.73,6.56
O,0.49,5.93
O,3.09,1.15
O,9.70,0.51
O,0.28,1.56
O,9.06,8.80
O,9.26,8.54
O,7.51,2.81
O,7.07,9.32
O,7.71,6.29
O,8.00,6.55
O,5.59,1.45
O,8.15,3.80
O,4.22,3.57
O,6.01,2.28
O,2.32,9.59
O,9.60,4.33
O,1.78,1.90
O,2.92,3.76
O,6.13,2.69
O,3.20,5.36
O,1.44,9.70
O,6.14,6.11
O,1.47,4.26
O,7.87,0.43
O,9.09,3.57
O,4.50,0.67
O,4.01,2.78
O,1.30,0.17
O,5.78,4.34
O,0.36,8.85
O,2.79,2.15
O,2.24,2.82
O,9.10,7.92
O,5.33,4.97
O,1.39,0.92
O,8.96,9.68
O,8.54,7.55
O,8.45,2.89
O,0.22,0.48
O,8.09,9.39
O,8.65,4.30
O,4.42,4.10
O,7.11,2.70
O,7.70,5.96
O,3.13,4.51
O,9.10,2.65
O,8.50,7.16
O,8.77,7.52
O,9.82,0.73
O,9.53,3.19
O,9.03,8.44
O,8.90,3.46
O,1.40,2.16
O,3.12,4.61
O,6.98,1.70
O,4.91,5.81
O,0.90,2.85
O,8.44,6.36
O,6.38,0.56
O,9.70,4.95
O,5.54,7.49
O,1.20,0.50
O,3.65,2.11
O,7.68,1.78
O,8.83,0.46
O,4.43,1.84
O,0.40,3.11
O,7.97,5.93
O,2.07,9.52
O,3.46,8.28
O,5.97,5.59
O,4.64,0.08
O,4.63,4.72
O,8.39,3.70
O,5.82,2.40
O,0.92,3.68
O,8.36,7.96
O,7.22,1.93
O,8.15,8.96
O,9.39,0.07
O,3.80,3.91
O,9.86,8.73
O,6.50,6.24
O,3.18,4.03
O,9.01,8.44
O,8.89,1.60
O,0.78,5.87
O,1.66,6.21
O,0.97,8.83
O,4.33,0.70
O,3.42,3.32
O,3.07,8.44
O,6.65,7.35
O,3.57,2.88
O,3.48,0.23
O,1.45,5.09
O,9.82,4.71
O,2.69,0.52
O,1.17,8.38
O,9.18,0.02
O,1.62,5.83
O,3.18,9.94
O,0.16,5.91
O,1.42,1.00
O,3.39,1.80
O,9.37,5.85
O,1.71,1.60
O,9.69,6.02
O,5.98,6.07
O,1.24,9.28
O,7.14,0.11
O,9.78,1.28
O,1.27,2.33
O,9.19,9.11
O,0.71,1.34
O,3.20,6.01
O,0.52,2.28
O,9.52,6.56
O,3.01,4.37
O,6.12,6.10
O,3.29,5.38
O,8.58,7.30
O,4.91,4.12
O,7.78,1.06
O,5.57,2.13
O,9.61,2.53
O,6.20,2.61
O,9.22,8.08
O,6.36,4.56
O,9.29,0.93
O,8.11,4.97
O,4.78,1.43
O,8.69,0.79
O,0.21,5.20
O,9.70,7.18
O,4.03,9.07
O,0.91,1.03
O,4.72,1.17
O,9.03,2.08
O,2.23,3.70
O,8.27,8.66
O,9.62,6.57
O,7.55,5.75
