
 Sim No:, 1,, N:, 1.0,, d:, 4.357 
Step No:, 1,, N_bact:, 80,, N_food:,1519 
 
Symbol:, pos x:, pos y: 
O,5.50,4.44
O,3.27,4.95
O,1.34,7.93
O,3.06,4.61
O,1.24,2.28
O,6.19,4.93
O,4.40,7.38
O,1.07,3.45
O,0.13,3.03
O,0.03,2.03
O,4.79,3.20
O,9.12,7.79
O,0.43,8.46
O,1.10,9.41
O,1.15,0.99
O,1.53,2.90
O,1.23,8.81
O,0.14,5.85
O,5.22,2.99
O,3.42,0.19
O,4.96,4.97
O,4.16,0.99
O,8.61,8.71
O,6.38,4.21
O,7.57,8.56
O,4.34,1.36
O,0.71,5.00
O,2.52,0.11
O,5.28,0.42
O,8.16,4.89
O,5.18,0.76
O,2.82,5.41
O,6.85,4.91
O,9.08,9.19
O,2.19,1.63
O,9.52,7.09
O,0.92,9.41
O,8.65,5.91
O,3.82,9.12
O,9.28,9.53
O,1.88,2.89
O,2.70,2.05
O,5.24,9.74
O,9.70,0.99
O,3.38,6.06
O,4.29,3.39
O,8.54,2.91
O,5.19,8.72
O,5.73,6.08
O,1.28,4.12
O,6.63,6.12
O,2.80,2.01
O,3.84,1.15
O,4.77,9.11
O,0.68,1.91
O,3.34,3.37
O,0.17,6.65
O,5.29,3.06
O,9.91,0.88
O,6.12,4.64
O,0.88,0.86
O,2.82,4.01
O,0.12,0.31
O,9.94,9.23
O,2.77,4.16
O,8.25,9.84
O,6.73,3.68
O,5.95,1.72
O,5.25,8.89
O,7.45,0.36
O,8.15,2.31
O,9.86,9.94
O,6.18,0.38
O,2.60,4.41
O,5.48,4.45
O,0.31,0.57
O,7.57,0.91
O,1.71,8.92
O,9.44,9.66
O,1.91,7.34
O,8.63,9.39
O,2.52,5.33
O,6.36,5.36
O,0.10,5.52
O,7.62,3.52
O,4.84,9.05
O,6.39,1.96
O,8.86,8.97
O,0.30,2.27
O,8.35,4.64
O,5.93,9.31
O,4.75,4.70
O,1.80,6.81
O,8.48,6.41
O,2.22,1.12
O,6.96,4.52
O,7.90,6.41
O,2.87,9.57
O,6.16,0.39
O,2.29,8.90
O,2.74,4.97
O,9.79,6.17
O,8.34,4.18
O,3.88,1.43
O,5.23,2.49
O,6.64,7.17
O,4.21,9.53
O,9.16,0.53
O,1.56,8.31
O,5.06,8.60
O,1.86,3.57
O,5.43,2.61
O,8.31,6.70
O,0.82,2.39
O,5.36,5.06
O,4.25,9.27
O,0.66,0.39
O,6.13,7.97
O,8.68,0.31
O,1.29,9.10
O,0.59,2.59
O,1.26,1.84
O,7.18,2.61
O,4.09,6.27
O,0.57,1.94
O,2.35,9.68
O,0.72,6.08
O,5.13,9.64
O,8.91,6.27
O,2.51,8.84
O,9.01,8.08
O,1.02,1.96
O,3.63,6.84
O,9.39,3.65
O,9.99,9.79
O,1.97,0.29
O,9.85,6.35
O,8.48,0.90
O,9.33,3.48
O,3.24,2.99
O,8.84,4.06
O,8.23,5.61
O,9.50,7.28
O,0.28,2.30
O,2.02,3.51
O,2.60,7.30
O,9.26,3.80
O,4.45,6.15
O,7.93,5.31
O,2.78,9.05
O,1.58,2.20
O,9.88,0.67
O,0.03,9.39
O,4.78,4.66
O,9.17,0.76
O,0.67,7.62
O,4.89,0.39
O,7.00,7.50
O,9.80,2.88
O,3.88,0.04
O,3.60,5.78
O,0.99,7.14
O,0.99,3.72
O,2.91,9.87
O,8.89,6.50
O,4.82,2.24
O,3.36,0.81
O,2.79,0.13
O,7.69,5.29
O,5.01,5.38
O,0.12,3.89
O,2.74,9.30
O,0.48,9.81
O,5.62,0.27
O,7.85,7.25
O,0.40,7.02
O,1.53,9.91
O,4.03,6.69
O,8.99,4.67
O,1.47,9.87
O,8.89,9.37
O,1.80,3.35
O,4.56,5.69
O,0.36,7.07
O,0.83,4.40
O,9.30,2.12
O,9.52,9.26
O,5.29,9.91
O,2.04,3.92
O,4.64,3.14
O,4.99,3.13
O,0.69,0.07
O,4.23,2.62
O,7.06,8.76
O,4.45,3.34
O,6.71,5.31
O,7.94,4.86
O,3.43,1.33
O,9.85,2.76
O,1.18,6.53
O,3.28,2.02
O,4.57,2.18
O,8.37,9.63
O,5.02,5.69
O,1.00,9.86
O,1.21,2.23
O,7.81,6.39
O,8.39,5.03
O,7.42,8.75
O,1.95,2.49
O,7.58,2.96
O,3.91,0.70
O,0.40,0.03
O,2.67,0.21
O,3.72,0.62
O,7.78,8.02
O,8.25,6.82
O,3.51,4.31
O,8.65,9.36
O,9.92,4.40
O,2.53,4.03
O,3.62,9.66
O,0.11,6.59
O,3.44,2.03
O,3.76,7.60
O,8.51,5.88
O,3.09,5.14
O,5.35,2.51
O,6.43,2.36
O,9.67,0.75
O,9.34,8.28
O,0.50,8.39
O,0.90,2.23
O,4.72,6.03
O,2.77,9.23
O,0.82,3.76
O,6.13,8.18
O,9.97,7.76
O,0.11,5.58
O,8.74,5.97
O,1.00,4.88
O,8.95,9.87
O,8.64,0.99
O,9.59,4.18
O,1.68,8.50
O,2.91,6.70
O,1.61,3.33
O,9.88,4.33
O,4.38,0.04
O,3.76,6.29
O,1.39,3.73
O,4.49,6.12
O,6.23,9.31
O,3.13,4.51
O,8.40,9.70
O,8.59,7.69
O,1.90,8.37
O,0.77,1.96
O,8.05,3.73
O,8.14,4.72
O,1.74,0.56
O,9.82,0.95
O,3.48,4.56
O,8.09,8.91
O,2.93,8.25
O,9.98,1.26
O,5.48,4.77
O,9.51,5.08
O,9.51,4.17
O,9.52,4.15
O,4.80,3.33
O,9.30,8.12
O,4.59,6.87
O,1.93,9.32
O,0.86,4.44
O,3.08,1.69
O,3.46,9.80
O,5.40,8.12
O,6.82,1.07
O,6.25,0.34
O,4.66,2.26
O,8.37,2.83
O,3.43,1.64
O,0.65,3.75
O,3.94,7.44
O,4.67,9.59
O,0.86,3.20
O,2.70,4.96
O,2.33,5.67
O,4.14,2.65
O,0.86,9.81
O,7.97,8.38
O,6.47,4.48
O,5.89,2.58
O,0.01,8.69
O,3.26,7.77
O,6.89,0.58
O,8.54,3.03
O,0.03,1.34
O,8.72,0.65
O,3.49,4.01
O,0.89,1.82
O,8.47,0.74
O,9.03,8.87
O,6.09,1.64
O,4.02,2.91
O,9.66,7.48
O,2.00,0.95
O,8.38,0.38
O,6.58,2.05
O,9.73,3.45
O,8.53,4.68
O,9.32,7.60
O,6.41,2.41
O,9.02,7.77
O,3.34,5.54
O,3.38,6.18
O,2.62,0.89
O,8.35,3.13
O,3.21,2.59
O,4.92,4.96
O,1.04,1.92
O,6.76,1.86
O,5.19,3.35
O,3.98,2.92
O,7.93,2.85
O,8.27,1.00
O,8.59,8.19
O,3.55,5.62
O,3.96,0.54
O,6.51,5.20
O,2.78,4.28
O,7.06,2.98
O,5.12,9.80
O,7.86,4.37
O,8.12,9.28
O,9.74,4.49
O,8.30,9.92
O,3.10,8.41
O,4.42,6.20
O,8.69,8.75
O,1.08,0.48
O,4.74,1.86
O,5.50,4.65
O,1.40,2.25
O,9.18,9.19
O,7.76,4.42
O,9.37,2.55
O,3.63,4.25
O,9.35,8.83
O,3.48,2.31
O,2.76,8.70
O,3.92,7.87
O,2.44,5.73
O,0.03,5.75
O,1.45,5.81
O,7.38,2.49
O,8.92,5.35
O,1.47,5.68
O,7.54,3.40
O,6.87,9.49
O,2.28,4.13
O,7.60,1.18
O,2.89,6.46
O,6.37,6.49
O,8.39,2.20
O,1.83,9.63
O,2.51,4.50
O,8.27,9.76
O,7.92,2.59
O,4.57,0.07
O,9.88,9.51
O,4.25,0.53
O,4.05,6.48
O,1.31,2.07
O,8.17,2.28
O,1.58,1.94
O,0.77,8.65
O,9.45,7.29
O,8.62,6.88
O,2.51,1.14
O,8.90,4.56
O,5.53,0.37
O,3.26,4.75
O,4.23,0.55
O,1.80,6.87
O,8.67,6.87
O,3.82,1.91
O,5.26,8.27
O,3.49,3.44
O,2.42,1.47
O,8.48,7.03
O,9.25,9.96
O,3.82,3.89
O,0.93,5.49
O,2.33,4.56
O,3.16,8.86
O,1.40,2.43
O,2.26,3.17
O,0.21,7.37
O,5.61,5.93
O,8.49,1.33
O,0.48,1.37
O,5.00,3.01
O,7.32,3.16
O,7.51,0.77
O,9.61,9.19
O,0.46,5.97
O,7.06,8.65
O,5.19,5.09
O,9.32,6.35
O,2.50,5.14
O,6.87,8.82
O,0.47,9.38
