
 Sim No:, 0,, N:, 1.0,, d:, 4.357 
Step No:, 0,, N_bact:, 500,, N_food:,2000 
 
Symbol:, pos x:, pos y: 
H,4.85,3.97
H,4.79,3.38
H,2.34,4.02
H,2.75,4.72
H,1.56,5.52
H,3.19,3.38
H,3.23,3.41
H,4.66,6.02
H,4.08,3.98
H,4.13,5.26
H,3.51,4.25
H,4.20,2.99
H,4.59,4.41
H,3.37,5.01
H,4.65,6.07
H,2.85,4.23
H,1.42,4.19
H,4.96,5.13
H,3.90,2.83
H,2.70,3.26
H,3.77,6.02
H,2.01,4.90
H,2.09,4.62
H,1.76,5.34
H,2.60,6.20
H,1.97,3.98
H,4.66,3.18
H,4.59,5.02
H,4.92,4.65
H,2.12,3.90
H,4.94,4.97
H,4.84,4.06
H,2.77,5.19
H,1.95,3.77
H,2.52,5.04
H,1.48,4.62
H,2.12,5.45
H,1.76,3.99
H,3.07,2.97
H,4.63,3.48
H,3.44,5.01
H,3.13,5.45
H,3.78,5.18
H,4.74,3.92
H,3.02,4.92
H,1.81,4.87
H,4.41,5.23
H,4.54,5.60
H,2.41,6.40
H,2.46,6.42
H,3.13,3.67
H,3.45,2.98
H,2.50,3.85
H,2.96,6.05
H,4.68,3.41
H,1.94,3.60
H,5.03,5.12
H,4.74,3.51
H,3.66,5.53
H,1.98,3.67
H,4.39,3.35
H,3.78,5.21
H,2.17,3.05
H,1.65,4.21
H,3.05,4.42
H,1.92,3.52
H,4.21,2.88
H,5.15,4.59
H,4.48,3.21
H,4.60,5.86
H,2.92,5.00
H,2.89,4.58
H,3.26,5.26
H,3.54,3.18
H,2.62,5.22
H,3.87,2.99
H,4.09,5.54
H,3.94,6.07
H,2.99,5.28
H,3.62,4.85
H,4.06,3.14
H,2.67,3.91
H,2.60,4.98
H,2.05,4.29
H,5.02,4.85
H,2.62,4.10
H,2.20,5.23
H,1.68,3.71
H,2.77,2.76
H,2.27,5.84
H,4.47,4.68
H,2.46,6.36
H,4.52,4.24
H,4.97,5.39
H,1.82,3.36
H,3.91,3.98
H,4.59,5.47
H,3.50,6.01
H,4.28,5.72
H,3.05,4.02
He,9.36,5.03
He,8.23,5.78
He,9.58,5.73
He,7.19,4.41
He,8.25,5.46
He,9.04,3.98
He,9.26,5.25
He,9.40,6.23
He,9.01,5.26
He,6.70,6.47
He,9.39,6.41
He,9.40,4.07
He,6.98,5.48
He,9.50,4.98
He,8.96,6.98
He,9.62,5.84
He,8.25,4.46
He,6.66,5.67
He,8.73,7.57
He,8.28,4.43
He,8.90,6.23
He,8.34,3.88
He,9.00,5.28
He,9.58,5.62
He,9.42,7.01
He,7.54,7.50
He,9.37,4.21
He,8.65,4.29
He,8.98,6.80
He,6.68,6.09
He,8.22,5.65
He,7.04,6.72
He,8.24,4.92
He,8.01,6.50
He,7.30,6.69
He,7.03,5.66
He,7.49,7.29
He,6.54,6.12
He,8.74,6.77
He,8.19,4.77
He,8.54,4.13
He,8.36,7.53
He,8.44,6.62
He,8.41,7.77
He,9.24,5.03
He,7.35,5.03
He,8.43,5.70
He,8.81,4.33
He,7.94,5.46
He,6.77,6.62
He,8.55,5.37
He,9.04,7.54
He,9.90,5.91
He,7.53,6.79
He,8.05,7.65
He,8.45,3.84
He,9.40,7.59
He,7.87,7.38
He,9.25,6.79
He,7.98,5.58
He,7.88,6.22
He,8.06,5.04
He,9.86,7.23
He,9.15,6.19
He,9.01,7.12
He,6.80,6.07
He,9.73,6.37
He,9.40,7.16
He,9.15,4.03
He,9.12,5.07
He,8.47,5.46
He,9.34,7.44
He,7.06,5.44
He,9.74,6.28
He,9.97,5.90
He,7.09,4.60
He,9.40,7.13
He,7.41,6.90
He,9.97,6.26
He,9.64,5.05
He,9.21,5.70
He,7.97,5.28
He,7.38,6.95
He,7.94,7.31
He,6.65,5.37
He,8.00,7.52
He,9.91,7.09
He,6.84,4.89
He,8.52,4.48
He,7.52,4.27
He,9.03,4.77
He,6.88,5.90
He,8.29,4.70
He,6.78,5.45
He,7.00,5.14
He,9.66,6.02
He,7.95,5.26
He,8.68,5.77
He,7.90,6.93
He,9.47,4.53
Li,4.19,3.07
Li,4.14,2.64
Li,3.50,2.48
Li,5.88,3.60
Li,5.65,4.20
Li,3.31,3.50
Li,3.74,2.76
Li,4.16,4.65
Li,6.21,4.51
Li,3.42,2.40
Li,5.78,4.03
Li,3.74,2.94
Li,3.86,3.85
Li,4.52,2.53
Li,3.94,2.12
Li,6.21,3.94
Li,6.20,2.78
Li,6.72,2.20
Li,4.77,4.02
Li,6.03,3.56
Li,4.11,4.34
Li,4.41,4.24
Li,6.52,2.38
Li,5.15,1.90
Li,4.79,3.15
Li,4.79,2.30
Li,6.27,2.40
Li,5.17,4.13
Li,3.14,3.43
Li,6.09,4.88
Li,5.91,4.51
Li,5.17,2.78
Li,6.03,3.73
Li,4.78,4.79
Li,6.07,3.72
Li,4.42,3.02
Li,5.38,4.25
Li,3.30,3.45
Li,3.25,3.15
Li,4.97,4.94
Li,5.54,1.95
Li,6.28,3.67
Li,3.39,3.23
Li,4.97,2.10
Li,4.51,2.54
Li,3.97,3.54
Li,5.97,2.12
Li,4.39,2.29
Li,3.60,3.01
Li,4.80,1.89
Li,5.72,2.59
Li,4.83,3.16
Li,5.13,4.28
Li,5.91,3.50
Li,6.63,2.99
Li,5.84,3.26
Li,6.74,3.18
Li,6.71,3.28
Li,6.57,2.91
Li,3.24,3.87
Li,4.48,3.76
Li,5.90,1.77
Li,4.78,1.35
Li,6.88,3.09
Li,3.74,2.43
Li,4.57,5.02
Li,6.40,2.21
Li,5.97,3.60
Li,6.32,3.23
Li,5.92,4.99
Li,4.32,4.53
Li,4.33,5.11
Li,4.36,3.88
Li,5.57,1.52
Li,4.43,5.02
Li,4.18,3.10
Li,6.07,2.91
Li,4.79,4.19
Li,4.05,4.59
Li,6.13,2.30
Li,5.58,4.58
Li,5.65,4.01
