
 Sim No:, 0,, N:, 1.0,, d:, 4.357 
Step No:, 1,, N_bact:, 99,, N_food:,1503 
 
Symbol:, pos x:, pos y: 
H,4.15,5.02
H,4.09,4.26
H,4.09,3.96
H,4.07,5.23
H,2.69,3.53
H,4.20,2.99
H,4.65,6.07
H,3.65,3.25
H,4.01,4.50
H,1.88,4.11
H,2.01,4.90
H,2.77,5.36
H,3.27,6.91
H,5.28,3.95
H,4.35,3.97
H,2.86,4.59
H,1.95,3.77
H,0.70,5.25
H,4.43,5.96
H,3.08,4.38
H,3.19,5.61
H,2.50,3.85
H,3.77,2.94
H,1.94,3.60
H,5.40,4.42
H,4.25,6.21
H,2.70,4.31
H,4.72,4.34
H,1.92,3.52
H,4.21,2.88
H,4.48,3.21
H,3.71,3.94
H,3.97,4.33
H,3.41,6.08
H,3.13,3.60
H,4.06,3.14
H,3.28,4.95
H,3.65,3.67
H,4.47,4.68
H,4.52,4.24
H,3.21,3.18
H,3.78,6.02
H,2.02,4.90
H,1.96,3.77
H,2.53,5.04
H,2.18,3.05
H,4.53,4.24
He,8.91,5.78
He,8.42,4.54
He,9.60,4.34
He,5.77,7.14
He,9.01,4.50
He,8.90,6.23
He,8.71,4.45
He,9.73,6.13
He,9.42,7.01
He,8.73,5.28
He,8.03,5.76
He,6.25,5.55
He,7.71,4.12
He,9.26,7.28
He,7.67,5.78
He,8.41,7.77
He,9.24,5.03
He,9.82,7.93
He,9.03,4.75
He,9.40,7.59
He,7.25,6.54
He,8.78,6.24
He,8.61,5.57
He,9.01,7.12
He,8.35,4.34
He,6.05,4.70
He,9.74,6.28
He,9.40,7.13
He,7.41,6.90
He,9.75,6.55
He,6.96,5.99
He,8.89,6.65
He,8.91,6.26
He,8.99,5.41
He,6.27,6.41
He,7.72,4.38
He,9.66,6.02
He,8.89,6.23
He,8.40,7.77
Li,5.00,1.22
Be,7.62,1.35
Be,7.63,2.14
Be,5.05,1.18
Be,4.82,1.45
Be,7.89,0.01
Be,5.99,0.32
Be,5.61,1.56
Be,5.37,2.95
Be,7.88,3.16
Be,7.32,2.20
Be,5.45,2.41
Be,9.07,1.70
O,4.90,6.54
O,4.27,9.72
O,5.46,9.83
O,0.97,8.52
O,8.88,7.88
O,5.13,7.71
O,3.71,8.28
O,3.66,6.95
O,7.07,9.08
O,2.60,8.88
O,6.19,7.19
O,1.95,4.58
O,8.79,8.35
O,2.01,7.48
O,9.27,4.50
O,4.30,9.42
O,0.40,1.21
O,2.30,8.09
O,1.00,6.93
O,4.97,6.69
O,1.15,2.49
O,0.53,2.15
O,7.32,7.93
O,2.67,3.99
O,5.39,5.09
O,4.17,8.23
O,4.72,7.46
O,0.35,0.32
O,6.34,9.20
O,6.41,0.61
O,8.28,9.54
O,1.78,1.18
O,6.21,8.08
O,6.38,7.51
O,8.85,0.08
O,1.60,2.50
O,7.05,8.53
O,8.52,9.97
O,9.47,6.45
O,6.13,4.52
O,8.02,9.86
O,9.91,2.63
O,5.41,9.25
O,3.02,9.69
O,7.80,3.47
O,1.04,5.16
O,8.76,9.92
O,0.91,7.03
O,7.51,2.13
O,0.11,5.75
