
 Sim No:, 1,, N:, 1.0,, d:, 4.357 
Step No:, 0,, N_bact:, 500,, N_food:,2000 
 
Symbol:, pos x:, pos y: 
H,4.34,7.15
H,4.43,5.51
H,5.13,7.65
H,2.04,8.35
H,2.04,6.71
H,4.19,5.37
H,2.78,6.94
H,2.84,7.67
H,2.13,6.21
H,2.02,8.06
H,4.93,7.45
H,2.13,8.11
H,3.76,5.81
H,4.81,6.31
H,4.20,6.21
H,2.17,8.00
H,2.66,6.45
H,2.92,9.15
H,4.01,8.40
H,5.46,7.76
H,4.50,6.18
H,4.04,9.02
H,2.28,6.33
H,3.99,6.98
H,4.84,6.24
H,3.56,6.26
H,2.13,8.35
H,3.76,5.53
H,2.73,8.09
H,3.46,8.20
H,4.07,7.09
H,3.74,9.16
H,2.68,7.53
H,3.94,9.06
H,3.13,6.10
H,4.70,6.68
H,3.35,8.17
H,4.95,6.47
H,3.46,5.99
H,4.50,6.18
H,4.85,6.41
H,3.41,8.56
H,1.62,7.08
H,4.17,6.32
H,2.15,7.15
H,4.54,5.95
H,3.85,8.25
H,4.58,8.46
H,1.72,6.64
H,4.03,7.89
H,2.50,5.85
H,4.52,8.98
H,4.66,6.32
H,4.03,6.09
H,2.72,5.60
H,4.49,7.87
H,4.71,7.29
H,4.88,7.85
H,4.45,7.06
H,4.67,6.27
H,1.95,8.03
H,2.89,6.99
H,3.41,5.70
H,5.00,5.94
H,3.27,7.00
H,4.88,7.34
H,4.38,7.36
H,3.34,8.69
H,2.88,5.73
H,2.18,7.60
H,4.43,6.11
H,4.26,5.67
H,5.23,7.98
H,2.23,8.56
H,4.56,7.49
H,1.68,7.16
H,4.97,8.14
H,2.29,7.37
H,5.23,6.80
H,3.13,7.67
H,3.82,7.81
H,2.83,5.72
H,4.32,6.65
H,2.17,7.51
H,1.88,6.45
H,3.90,7.13
H,3.22,6.21
H,5.20,6.36
H,2.00,6.74
H,1.61,7.69
H,3.94,5.52
H,3.51,5.92
H,2.32,8.45
H,3.12,7.46
H,2.68,8.36
H,3.24,8.95
H,3.08,7.43
H,3.77,6.07
H,4.73,5.91
H,2.65,9.04
He,4.70,7.74
He,2.50,5.94
He,4.19,5.42
He,4.26,7.62
He,3.31,7.31
He,4.34,8.11
He,1.19,6.37
He,2.84,5.80
He,4.01,8.11
He,3.22,7.42
He,4.17,5.78
He,4.13,6.58
He,3.93,6.99
He,2.31,6.95
He,2.02,8.16
He,4.31,7.79
He,2.89,7.14
He,1.28,7.19
He,3.00,5.15
He,1.77,7.67
He,4.34,8.31
