
 Sim No:, 1,, N:, 1.0,, d:, 0.13 
Step No:, 79,, N_bact:, 327,, N_food:,0 
 
Symbol:, pos x:, pos y: 
H,9.62,7.12
H,8.50,4.95
H,8.00,7.92
H,5.34,9.89
H,0.98,2.92
H,2.14,5.88
H,0.23,0.12
H,0.63,3.51
H,8.83,2.37
H,3.40,5.04
H,0.43,3.31
H,1.24,2.99
H,2.51,7.31
H,8.63,4.93
H,6.88,5.02
H,2.66,4.02
H,0.70,0.52
H,3.14,5.03
H,1.24,5.34
H,4.41,5.01
H,4.50,7.87
H,6.38,6.75
H,7.32,8.34
H,6.69,5.00
H,1.83,1.22
H,4.25,1.92
H,0.94,1.15
H,6.15,6.94
H,1.60,4.99
H,0.49,2.76
H,9.73,5.60
H,4.62,4.97
H,2.48,2.22
H,3.60,2.84
H,2.67,7.50
H,6.11,6.19
H,9.00,8.86
H,4.20,2.86
H,2.39,9.42
H,2.67,4.94
H,8.53,7.28
H,7.03,5.04
H,6.99,5.04
H,7.71,2.86
H,7.08,6.01
H,7.50,7.89
H,9.43,8.01
H,6.73,7.40
H,4.69,5.96
H,7.04,4.95
H,6.37,5.03
H,3.87,8.14
H,2.80,6.03
H,2.60,5.13
H,1.94,4.16
H,6.43,6.54
H,8.02,7.80
H,0.86,4.02
H,6.39,6.85
H,6.85,4.97
H,4.49,9.64
H,1.89,4.96
H,7.54,4.39
H,4.63,0.95
H,9.61,5.70
H,4.09,4.50
H,9.95,7.41
H,4.01,4.95
H,5.65,5.96
H,8.58,3.62
H,1.53,4.93
H,1.94,4.94
H,7.05,4.98
H,7.39,7.10
H,6.27,1.18
H,8.44,7.82
H,1.20,5.04
H,2.31,1.18
H,6.36,9.60
H,3.15,4.66
H,5.19,1.00
H,6.23,4.95
H,1.00,5.00
H,8.77,5.24
H,3.83,6.47
H,8.93,7.68
H,0.19,8.60
H,0.04,4.94
H,1.43,2.93
H,4.03,4.95
H,3.59,7.55
H,8.92,6.00
H,1.77,6.63
H,1.82,3.57
H,6.16,2.77
H,0.59,4.94
H,5.23,8.01
H,4.88,4.96
H,6.82,4.95
H,8.92,4.93
H,9.64,5.05
H,0.58,9.25
H,7.18,6.51
H,1.50,4.10
H,2.79,9.24
H,7.48,4.48
H,4.20,1.97
H,6.95,5.53
H,1.46,5.29
H,1.92,5.05
H,9.64,5.05
H,7.51,7.51
H,9.64,5.05
H,3.90,1.58
H,9.48,4.08
H,3.77,9.45
H,9.12,5.62
H,3.61,6.93
H,1.95,4.94
H,0.58,6.23
H,4.84,6.74
H,5.48,5.02
H,9.49,8.30
H,5.82,4.95
H,2.68,4.94
H,8.93,4.99
H,1.27,0.54
H,9.89,5.01
H,5.06,4.93
H,5.98,9.99
H,5.76,6.58
H,0.24,6.29
H,5.29,7.95
H,4.62,2.75
H,7.07,8.83
H,4.04,4.95
H,5.81,4.95
H,5.92,4.93
H,7.71,3.68
H,3.41,5.04
H,1.24,5.06
H,6.48,0.53
H,8.37,5.00
H,0.09,0.43
H,8.73,2.07
H,4.74,5.02
H,6.87,0.71
H,9.79,0.26
H,3.17,5.03
H,8.18,4.77
H,6.83,7.75
H,1.67,5.03
H,0.60,4.94
H,1.93,5.05
H,1.36,2.39
H,7.81,0.88
H,1.39,0.45
H,2.09,2.97
H,4.03,4.95
H,9.31,7.34
H,6.97,5.04
H,3.26,0.02
H,1.96,4.94
H,8.92,4.99
H,7.14,1.57
H,5.39,8.40
H,3.41,5.04
H,1.19,5.04
H,4.63,4.97
H,8.06,8.64
H,9.93,5.01
H,9.12,3.75
H,1.06,4.95
H,9.73,5.01
H,2.84,1.88
H,1.67,5.03
H,8.91,4.93
H,4.09,5.11
H,9.60,5.21
H,3.41,5.04
H,1.19,5.04
H,6.43,5.26
H,7.27,7.36
H,1.34,2.51
H,7.79,2.59
H,3.02,4.99
H,9.42,5.80
H,9.82,0.56
H,4.81,4.98
H,8.94,5.46
H,6.56,5.05
H,4.42,6.84
H,7.79,8.53
H,1.17,7.61
H,6.92,4.93
H,5.80,4.95
H,8.36,5.00
H,0.84,0.90
H,9.65,5.06
H,2.42,1.13
H,6.21,4.95
H,3.14,4.88
H,9.30,1.69
H,6.69,8.57
H,8.31,5.12
H,1.90,4.96
H,6.78,8.43
H,4.02,4.95
H,5.15,8.54
H,4.02,0.53
H,6.75,4.50
H,5.72,9.58
H,4.35,3.02
H,9.87,5.01
H,8.80,2.56
H,6.31,9.77
H,8.52,4.94
H,3.14,8.06
H,7.55,5.04
H,4.42,5.01
H,6.94,4.93
H,8.44,0.70
H,6.80,7.98
H,0.28,3.04
H,9.94,7.41
H,1.21,5.04
H,3.99,6.84
H,1.01,5.00
H,8.09,4.96
H,9.56,9.43
H,9.63,5.05
H,5.06,4.93
H,0.37,7.68
H,3.64,5.31
H,3.18,5.03
H,0.06,4.94
H,8.91,4.99
H,8.04,5.50
H,2.83,3.79
H,3.97,3.25
H,6.91,4.93
H,9.64,5.06
H,6.00,4.12
H,7.64,4.75
H,9.61,7.12
H,8.49,4.95
H,0.72,4.07
H,8.29,4.98
H,5.48,5.98
H,4.04,5.98
H,5.84,3.13
H,1.54,4.93
H,1.01,5.00
H,1.73,7.51
H,2.25,6.48
H,8.92,4.99
H,5.91,4.93
H,7.55,1.91
H,0.61,4.94
H,6.17,1.03
H,1.49,0.48
H,2.92,0.82
H,6.96,5.04
H,3.06,2.97
H,3.34,6.06
H,0.03,2.46
H,9.93,7.41
H,1.02,5.00
H,8.76,6.66
H,7.83,8.70
H,4.42,5.01
H,4.61,8.52
H,7.03,4.95
H,2.60,3.25
H,8.97,5.14
H,4.50,7.96
H,1.21,2.79
H,2.88,8.45
H,0.04,2.54
H,1.93,5.05
H,9.63,5.05
H,4.42,2.00
H,4.50,4.25
H,1.75,1.93
H,0.24,9.79
H,2.06,1.29
H,3.42,1.75
H,9.81,0.56
H,4.82,4.98
H,6.91,4.93
H,8.35,5.00
H,5.50,4.91
H,3.99,5.64
H,9.58,3.01
H,2.17,3.26
H,5.05,4.93
H,0.58,6.37
H,9.63,5.06
H,9.08,6.28
H,8.00,1.51
H,2.15,5.88
H,2.67,4.02
H,1.84,1.22
H,8.52,7.28
H,2.61,5.13
H,4.50,9.64
H,3.60,7.55
H,7.47,4.48
H,8.72,2.07
H,3.42,5.04
H,8.90,4.93
H,4.10,5.11
H,6.42,5.26
H,3.15,4.88
H,8.30,5.12
H,5.14,8.54
H,5.71,9.58
H,9.93,7.41
H,1.02,5.00
H,0.73,4.07
H,1.02,5.00
H,5.90,4.93
H,1.50,0.48
H,1.03,5.00
H,9.62,5.05
H,4.43,2.00
H,2.07,1.29
