
 Sim No:, 1,, N:, 1.0,, d:, 0.13 
Step No:, 39,, N_bact:, 637,, N_food:,0 
 
Symbol:, pos x:, pos y: 
H,1.87,1.92
H,3.13,4.97
H,4.16,3.23
H,5.25,0.70
H,2.99,0.71
H,1.59,1.87
H,6.54,5.03
H,4.99,5.45
H,8.21,4.04
H,5.81,5.02
H,5.46,8.10
H,7.30,8.82
H,8.23,6.63
H,3.88,4.99
H,2.26,2.45
H,1.29,7.23
H,0.83,4.98
H,5.11,4.93
H,0.14,4.65
H,2.91,5.05
H,8.36,3.96
H,4.28,5.04
H,2.22,0.26
H,2.61,5.02
H,1.39,9.01
H,5.94,0.70
H,0.15,4.72
H,5.63,4.99
H,4.86,7.10
H,5.78,1.39
H,7.91,6.96
H,7.41,8.41
H,3.00,1.82
H,6.60,9.94
H,4.47,9.89
H,4.65,5.05
H,8.11,5.06
H,5.83,3.71
H,7.31,7.16
H,7.22,4.91
H,7.38,3.80
H,5.81,8.56
H,8.10,9.28
H,5.56,2.09
H,3.08,9.47
H,3.40,2.52
H,3.85,0.89
H,0.18,5.78
H,1.40,8.86
H,3.42,2.99
H,1.17,4.69
H,4.03,2.59
H,8.79,0.64
H,5.58,1.14
H,7.79,1.87
H,6.90,0.59
H,8.88,2.69
H,3.25,5.04
H,0.20,5.06
H,2.98,8.27
H,8.55,4.64
H,8.47,7.93
H,8.21,4.96
H,5.18,4.05
H,0.79,3.02
H,0.21,6.43
H,6.38,4.97
H,5.69,5.05
H,9.60,4.95
H,5.91,1.54
H,3.90,0.44
H,4.53,4.11
H,2.39,1.94
H,3.73,7.61
H,0.63,2.04
H,2.52,1.56
H,7.88,0.39
H,0.48,5.81
H,2.70,5.06
H,1.54,2.76
H,7.00,9.81
H,2.64,4.94
H,4.09,5.05
H,3.44,2.27
H,1.08,7.38
H,9.71,7.11
H,0.46,2.67
H,3.85,5.68
H,7.07,1.51
H,6.27,4.95
H,4.01,8.49
H,2.78,1.33
H,3.11,9.11
H,7.08,4.98
H,1.34,4.93
H,4.37,4.21
H,1.90,4.97
H,8.86,1.46
H,4.15,7.71
H,9.68,9.72
H,2.45,5.62
H,0.80,6.34
H,0.74,5.05
H,1.57,5.05
H,3.11,5.03
H,0.02,4.94
H,7.24,1.44
H,2.03,4.97
H,1.27,0.41
H,6.57,0.02
H,0.21,4.97
H,1.28,5.02
H,1.08,7.85
H,4.54,1.36
H,3.07,8.33
H,3.24,9.71
H,5.89,3.46
H,3.06,6.27
H,6.08,7.26
H,3.08,8.48
H,6.36,8.60
H,9.55,7.34
H,5.95,2.32
H,4.34,4.29
H,2.66,7.48
H,2.94,4.97
H,8.11,6.33
H,8.83,2.62
H,9.12,5.04
H,9.25,6.99
H,3.13,1.42
H,4.39,0.15
H,4.09,5.02
H,3.34,9.45
H,8.95,5.77
H,1.51,8.71
H,4.14,2.50
H,9.42,0.76
H,3.73,7.65
H,4.11,4.96
H,8.74,3.69
H,7.97,9.44
H,8.14,2.68
H,4.45,6.16
H,8.55,0.61
H,4.51,4.12
H,4.22,5.08
H,0.68,0.33
H,5.06,9.85
H,5.38,4.98
H,1.20,9.47
H,8.62,1.88
H,7.96,2.90
H,2.40,0.85
H,2.61,3.57
H,1.12,6.41
H,0.51,3.70
H,3.38,5.04
H,8.72,0.01
H,8.69,6.12
H,6.27,4.96
H,6.29,6.74
H,1.62,5.03
H,6.14,2.99
H,5.52,5.02
H,1.47,1.62
H,4.40,1.76
H,3.38,1.65
H,5.55,0.59
H,8.85,0.46
H,2.25,3.02
H,8.12,9.71
H,3.35,9.05
H,6.26,9.22
H,7.29,5.42
H,4.89,9.97
H,3.20,3.80
H,7.33,6.41
H,1.79,7.04
H,7.51,4.94
H,6.50,5.03
H,6.86,5.39
H,7.49,7.80
H,3.40,8.29
H,5.51,5.02
H,1.00,5.14
H,7.27,8.63
H,3.71,1.26
H,3.71,6.77
H,7.05,5.04
H,3.60,0.47
H,0.97,5.00
H,4.78,4.97
H,7.04,5.04
H,6.23,1.91
H,0.80,8.58
H,8.59,4.94
H,0.17,2.00
H,7.65,1.59
H,6.90,6.43
H,2.02,6.33
H,2.41,9.28
H,8.26,7.62
H,4.28,3.62
H,4.52,4.20
H,6.08,5.06
H,3.98,6.11
H,3.47,0.93
H,1.16,4.96
H,1.84,8.35
H,3.38,5.04
H,7.05,5.04
H,1.39,0.19
H,2.69,4.97
H,5.69,2.82
H,0.95,5.05
H,3.43,5.00
H,6.64,9.60
H,6.80,5.05
H,2.99,0.56
H,4.49,8.55
H,8.32,4.98
H,7.01,2.14
H,6.40,3.36
H,2.30,4.68
H,8.40,8.10
H,8.14,4.94
H,7.70,2.03
H,3.38,5.04
H,6.12,9.92
H,4.68,0.96
H,3.12,5.03
H,6.69,4.12
H,3.51,0.23
H,9.00,8.72
H,1.01,4.95
H,5.20,4.87
H,2.33,4.97
H,4.13,7.16
H,3.90,9.19
H,8.37,3.07
H,4.57,4.47
H,0.03,5.01
H,6.07,8.88
H,8.01,2.58
H,4.94,5.04
H,3.14,4.97
