
 Sim No:, 0,, N:, 1.0,, d:, 0.13 
Step No:, 39,, N_bact:, 708,, N_food:,0 
 
Symbol:, pos x:, pos y: 
H,6.01,5.03
H,1.01,3.16
H,3.68,5.21
H,0.79,7.32
H,2.51,1.13
H,1.98,5.00
H,4.78,1.56
H,9.13,2.79
H,7.90,6.65
H,8.19,4.97
H,7.04,0.82
H,3.59,4.98
H,7.41,5.38
H,9.33,0.81
H,3.05,6.42
H,4.55,8.16
H,4.83,1.45
H,7.73,9.64
H,7.51,8.49
H,9.79,8.69
H,0.87,0.55
H,1.97,9.63
H,8.19,5.15
H,9.30,5.85
H,4.53,5.24
H,8.65,5.05
H,2.97,9.85
H,6.58,6.44
H,4.30,0.30
H,4.94,2.86
H,3.33,4.94
H,1.02,5.80
H,9.46,3.00
H,3.11,5.02
H,3.90,9.62
H,9.05,0.26
H,1.67,4.86
H,5.01,9.54
H,0.44,5.65
H,2.88,5.02
H,3.73,4.96
H,9.99,1.69
H,6.63,4.99
H,2.82,5.68
H,5.40,3.64
H,8.17,4.93
H,0.76,6.86
H,2.33,9.00
H,5.32,5.02
H,0.41,5.57
H,3.99,6.75
H,7.07,9.71
H,4.25,5.03
H,9.55,9.16
H,2.15,3.53
H,2.26,3.95
H,6.58,0.86
H,8.35,4.99
H,5.24,8.68
H,7.47,8.35
H,4.82,7.34
H,3.08,4.94
H,8.71,1.89
H,1.20,4.10
H,6.20,4.63
H,9.91,6.42
H,7.35,4.00
H,6.65,8.38
H,7.43,5.06
H,2.38,2.86
H,7.75,3.54
H,0.24,4.94
H,0.59,4.99
H,0.74,8.90
H,7.24,5.05
H,0.24,4.33
H,3.34,4.94
H,1.41,6.59
H,4.48,7.79
H,8.24,0.53
H,5.77,5.03
H,6.60,4.99
H,3.37,0.34
H,8.69,5.05
H,9.67,1.34
H,8.97,3.79
H,6.13,9.04
H,8.38,0.47
H,2.97,9.77
H,6.47,0.64
H,4.08,4.72
H,0.52,4.63
H,2.77,4.95
H,1.14,3.38
H,4.06,3.53
H,5.44,6.11
H,3.68,5.68
H,0.46,0.21
H,4.41,1.55
H,4.35,4.89
H,4.45,1.98
H,0.40,8.74
H,1.86,0.27
H,2.91,1.57
H,0.52,1.93
H,4.78,9.77
H,7.69,5.04
H,4.00,4.96
H,3.14,8.25
H,3.15,8.40
H,2.69,2.69
H,4.20,5.10
H,7.25,7.93
H,8.31,0.97
H,6.17,6.95
H,4.50,0.06
H,3.23,0.94
H,6.82,4.28
H,8.82,9.01
H,8.19,4.38
H,6.82,5.07
H,5.01,4.97
H,8.45,1.19
H,7.51,2.15
H,5.69,5.05
H,4.50,5.04
H,2.04,9.25
H,9.54,3.85
H,1.72,1.62
H,3.06,5.50
H,4.75,6.31
H,3.34,3.60
H,3.33,8.11
H,2.61,1.73
H,6.26,7.00
H,6.28,2.67
H,8.34,4.99
H,3.17,5.01
H,8.80,9.46
H,5.06,2.86
H,5.08,0.20
H,6.74,5.04
H,5.34,7.97
H,8.26,3.15
H,5.36,1.14
H,9.17,7.22
H,6.35,6.95
H,6.69,7.92
H,2.50,3.32
H,4.75,5.00
H,8.99,5.82
H,2.32,0.25
H,4.03,4.98
H,4.77,0.68
H,1.78,3.23
H,0.70,1.82
H,0.36,4.96
H,5.69,5.02
H,6.09,6.10
H,0.48,0.95
H,8.31,5.35
H,0.85,8.16
H,6.29,5.60
H,9.42,1.95
H,5.22,9.17
H,7.21,4.03
H,3.55,2.76
H,7.15,1.04
H,2.98,2.54
H,8.81,9.03
H,7.23,4.97
H,4.66,1.07
H,4.90,2.05
H,0.81,6.16
H,6.54,5.05
H,7.12,5.04
H,4.96,4.95
H,9.71,8.31
H,1.77,9.42
H,4.64,9.68
H,0.24,3.32
H,9.44,2.71
H,0.53,2.19
H,3.82,9.33
H,4.30,9.38
H,2.59,4.95
H,6.89,5.11
H,5.68,5.05
H,4.17,5.91
H,1.61,4.49
H,6.90,3.85
H,4.86,1.17
H,6.80,0.10
H,5.14,5.06
H,8.64,7.20
H,5.74,5.03
H,0.91,6.87
H,7.98,9.73
H,2.90,4.60
H,7.01,8.75
H,5.54,4.96
H,9.22,3.60
H,8.79,7.02
H,7.70,6.96
H,9.70,1.71
H,1.23,1.60
H,0.46,1.79
H,2.57,7.88
H,3.39,0.98
H,9.29,5.18
H,7.92,2.10
H,5.66,1.92
H,8.61,9.72
H,1.03,6.82
H,7.79,8.93
H,1.73,4.94
H,8.58,4.23
H,0.38,0.92
H,6.09,1.45
H,2.71,9.72
H,3.34,8.68
H,8.67,5.01
H,7.10,0.49
H,6.20,6.56
H,4.11,1.19
H,3.23,5.03
H,5.39,6.82
H,2.06,1.53
H,0.51,0.06
H,5.04,2.32
H,9.40,8.16
H,2.87,6.62
H,3.31,8.21
H,1.34,4.57
H,1.09,4.96
H,5.80,0.05
H,5.84,5.05
H,8.03,9.44
H,5.23,4.88
H,2.88,7.30
H,2.68,9.71
H,8.09,1.99
H,0.51,3.79
H,0.42,1.26
H,1.51,1.85
H,9.40,9.58
H,1.52,1.13
H,6.07,9.76
H,5.30,3.40
H,9.59,6.86
H,6.79,1.86
H,8.28,1.79
H,4.39,4.99
H,1.10,4.97
H,6.48,9.39
H,8.48,3.54
H,8.50,1.00
H,6.17,0.40
H,4.61,5.77
H,7.92,6.20
H,9.50,5.33
H,4.91,5.00
H,7.33,6.24
H,7.79,8.50
H,7.11,8.82
H,8.35,5.03
H,5.68,5.02
H,0.47,0.52
H,9.76,2.31
H,2.77,1.97
H,5.97,2.15
H,3.26,5.52
H,2.49,5.01
H,3.25,9.77
H,9.55,6.91
H,1.11,4.97
H,9.79,4.03
H,6.55,8.16
H,7.69,5.04
H,2.72,2.44
H,0.03,7.45
H,7.62,5.78
H,8.06,2.75
H,5.81,7.67
H,7.39,1.13
H,1.77,0.89
H,4.64,2.65
H,1.29,5.06
H,6.85,5.02
H,4.07,9.93
H,3.14,5.02
H,9.92,4.20
H,4.49,1.14
H,1.05,0.83
H,4.92,5.03
H,6.69,2.39
H,4.00,5.32
H,8.77,4.93
H,1.47,4.98
H,2.60,4.95
H,7.77,5.03
H,5.53,4.96
H,4.28,3.97
H,8.52,2.60
H,2.04,2.80
H,1.74,9.67
H,2.36,4.98
H,3.35,4.94
H,8.98,2.95
H,8.18,4.97
H,4.26,7.29
H,6.67,7.99
H,9.00,8.66
H,9.42,7.39
H,9.18,5.01
H,1.40,5.02
H,3.03,5.97
H,2.72,2.50
H,0.57,1.69
H,0.07,3.03
H,5.86,1.15
H,3.14,5.02
H,8.33,4.99
H,1.46,6.40
H,3.96,3.45
H,1.53,0.44
H,5.32,1.15
H,9.27,7.03
H,3.09,9.38
H,1.40,5.04
H,7.36,6.02
H,2.15,9.67
H,8.36,3.24
H,0.50,9.19
H,6.30,8.84
H,1.24,1.00
H,8.09,6.83
H,3.22,8.77
H,1.69,5.22
H,0.69,7.43
H,7.40,8.41
H,7.58,7.24
H,2.72,2.96
H,9.46,2.66
H,0.79,2.84
H,5.54,3.62
H,3.78,6.80
H,2.29,9.12
H,8.66,7.38
H,3.31,6.61
H,4.76,5.00
H,4.33,5.69
H,2.38,2.77
H,4.31,4.99
H,4.73,7.91
H,4.22,1.32
H,5.80,9.32
H,3.15,9.96
H,8.14,5.50
H,8.91,9.80
H,2.91,5.06
H,0.47,5.09
H,1.69,4.96
H,0.22,0.85
H,5.50,4.95
H,2.72,2.55
H,1.06,3.86
H,1.96,3.85
H,1.33,1.83
H,8.56,5.00
H,5.08,1.52
H,0.25,4.94
H,3.08,7.17
H,8.54,8.99
H,0.68,1.73
H,4.95,9.50
H,2.80,5.03
H,2.49,7.39
H,5.86,7.22
H,9.97,5.27
H,4.01,1.72
H,8.05,5.46
H,8.46,3.98
H,7.52,0.23
H,6.32,2.89
H,5.13,5.06
H,3.13,7.11
H,6.83,6.77
H,5.77,3.32
H,5.18,3.06
H,9.30,7.80
H,1.03,1.98
H,8.25,8.57
H,4.97,8.80
H,3.05,5.44
H,3.78,0.08
H,4.12,5.68
H,3.84,8.48
H,1.46,0.18
H,1.34,5.65
H,7.69,8.91
H,1.53,5.05
H,0.25,4.94
H,5.78,0.58
H,8.28,4.64
H,9.16,3.01
H,5.64,0.20
H,8.99,5.01
H,2.94,3.58
H,2.24,4.18
H,0.33,0.28
H,4.45,4.94
H,4.82,5.82
H,8.07,5.45
H,2.85,5.49
H,3.25,4.95
H,8.35,0.69
H,6.80,2.30
H,9.93,4.15
H,4.10,6.27
H,8.36,6.36
H,6.19,3.73
H,6.31,0.87
H,6.92,1.43
H,9.24,4.93
H,6.82,8.00
H,7.08,6.83
H,0.59,3.61
H,0.92,7.94
H,4.23,4.94
H,4.85,8.41
H,3.51,3.62
H,7.37,0.07
H,8.14,7.10
H,6.14,1.63
H,4.92,4.95
H,4.05,5.01
H,6.14,3.03
H,5.09,7.53
H,6.04,0.70
H,5.97,6.56
H,0.13,0.01
H,1.10,4.97
H,3.78,4.77
H,5.68,5.02
H,1.69,3.28
H,5.47,1.35
H,3.42,6.75
H,2.14,3.01
H,2.62,6.52
H,4.45,4.94
H,1.40,5.04
H,5.73,5.03
H,0.08,0.45
H,2.97,0.45
H,0.98,9.54
H,6.19,3.12
H,2.18,0.08
H,6.93,5.40
H,5.00,0.17
H,1.71,2.77
H,4.33,9.74
H,0.43,6.09
H,6.84,5.02
H,0.25,9.60
H,6.27,9.91
H,5.60,7.29
H,9.49,0.79
H,9.87,5.14
H,7.85,4.99
H,2.41,9.62
H,5.99,3.73
H,8.98,5.01
H,6.74,2.09
H,8.71,7.36
H,7.30,8.11
H,4.75,7.17
H,0.74,1.10
H,6.04,1.46
H,1.23,4.96
H,6.71,8.86
H,7.42,5.06
H,1.44,8.64
H,3.34,0.55
H,8.85,6.75
H,5.68,5.05
H,5.77,2.56
H,9.02,5.05
H,1.91,1.39
H,5.68,5.02
H,0.38,0.90
H,4.57,1.39
H,5.53,4.96
H,5.04,7.70
H,0.64,7.17
H,4.99,4.97
H,2.15,4.20
H,0.33,4.01
H,7.53,0.59
H,8.67,7.18
H,0.03,0.87
H,8.05,3.36
H,6.20,5.03
H,3.86,3.09
H,5.52,4.96
H,9.17,5.01
H,3.15,5.02
H,1.46,7.16
H,9.87,2.97
H,4.04,7.10
H,5.60,8.45
H,4.81,6.05
H,0.93,2.03
H,2.11,5.28
H,4.52,7.92
H,8.44,3.25
H,0.84,6.38
H,5.72,5.03
H,3.72,0.86
H,7.34,8.25
H,1.99,4.56
H,6.83,7.18
H,7.51,2.98
H,5.31,5.02
H,0.25,4.94
H,0.81,0.40
H,0.37,4.96
H,7.90,5.26
H,1.80,4.95
H,8.03,5.45
H,9.62,9.47
H,2.92,9.51
H,3.51,0.57
H,7.58,6.82
H,8.57,7.65
H,2.52,0.48
H,1.62,6.18
H,8.05,7.40
H,5.99,0.58
H,0.04,7.50
H,0.47,8.45
H,8.14,5.54
H,7.93,9.80
H,4.76,0.18
H,2.15,8.89
H,4.38,8.48
H,7.04,3.08
H,5.57,0.47
H,9.73,7.41
H,5.74,1.07
H,2.04,4.34
H,0.00,0.24
H,0.06,1.63
H,5.86,5.48
H,5.08,4.06
H,4.66,3.86
H,5.51,4.96
H,8.31,4.99
H,2.13,8.01
H,3.48,5.00
H,4.65,9.39
H,8.75,9.04
H,4.25,5.50
H,5.05,2.73
H,1.46,7.65
H,2.59,0.68
H,1.75,2.49
H,1.20,0.60
H,3.55,9.58
H,5.07,0.20
H,6.73,5.04
H,8.16,4.40
H,7.81,6.88
H,2.80,3.75
H,5.69,2.21
H,2.75,2.65
H,8.32,4.99
H,3.42,4.96
H,8.76,4.93
H,7.76,5.03
H,1.41,5.02
H,2.15,3.91
H,0.26,4.94
H,5.06,2.84
H,9.33,7.73
H,8.14,8.14
H,9.20,1.60
H,9.10,3.49
H,4.99,2.97
H,1.79,3.92
H,7.04,1.03
H,7.86,4.31
H,8.77,7.16
H,9.61,9.47
H,2.27,3.77
H,5.69,0.81
H,4.90,9.11
H,4.04,4.54
H,3.49,5.00
H,6.64,2.82
H,9.04,0.26
H,3.74,4.96
H,1.15,5.43
H,5.18,5.48
H,6.51,4.46
H,1.55,3.17
H,1.48,7.97
H,3.92,1.25
H,5.00,4.97
H,9.07,2.55
H,3.73,9.46
H,7.31,9.32
H,7.19,7.59
H,5.36,5.51
H,5.67,5.05
H,8.30,2.84
H,0.78,0.26
H,3.28,4.60
H,9.39,9.58
H,8.66,0.89
H,6.30,0.00
H,0.04,7.45
H,4.11,6.01
H,6.84,5.02
H,5.00,4.97
H,1.82,8.35
H,9.86,6.48
H,4.15,3.84
H,0.47,1.39
H,7.58,8.36
H,2.93,9.03
H,2.36,6.07
H,2.81,5.03
H,4.78,2.57
H,5.12,5.06
H,5.41,4.85
H,8.17,8.11
H,2.79,6.31
H,4.88,7.31
H,6.64,0.81
H,5.64,4.33
H,2.13,4.45
H,1.41,5.04
H,9.44,8.56
H,8.49,6.98
H,3.87,7.04
H,7.56,8.11
H,9.13,8.07
H,4.46,1.20
H,1.10,8.20
H,2.93,5.06
H,8.23,4.70
H,7.79,6.68
H,3.36,4.20
H,4.54,5.24
H,3.12,5.02
H,9.04,0.26
H,1.68,4.86
H,8.34,4.99
H,6.64,8.38
H,1.42,6.59
H,8.37,0.47
H,1.15,3.38
H,5.43,6.11
H,7.68,5.04
H,6.81,4.28
H,6.27,2.67
H,9.16,7.22
H,3.56,2.76
H,8.80,9.03
H,0.82,6.16
H,9.70,8.31
H,4.18,5.91
H,1.62,4.49
H,2.07,1.53
H,5.03,2.32
H,3.32,8.21
H,5.22,4.88
H,6.78,1.86
H,8.34,5.03
H,2.78,1.97
H,5.96,2.15
H,2.50,5.01
H,7.38,1.13
H,2.16,9.67
H,3.23,8.77
H,5.53,3.62
H,4.23,1.32
H,3.09,7.17
H,3.14,7.11
H,4.98,8.80
H,3.85,8.48
H,8.06,5.45
H,6.79,2.30
H,9.92,4.15
H,6.18,3.73
H,4.93,4.95
H,5.46,1.35
H,0.26,9.60
H,5.71,5.03
H,5.73,1.07
H,1.47,7.65
H,8.13,8.14
H,4.91,9.11
H,4.05,4.54
H,0.48,1.39
H,4.79,2.57
H,7.55,8.11
