
 Sim No:, 0,, N:, 1.0,, d:, 0.13 
Step No:, 0,, N_bact:, 500,, N_food:,2000 
 
Symbol:, pos x:, pos y: 
H,4.34,2.09
H,3.65,1.79
H,4.00,0.29
H,4.41,1.35
H,4.88,1.18
H,4.85,1.68
H,5.20,0.41
H,2.55,1.39
H,4.74,1.28
H,4.36,0.62
H,3.48,0.65
H,3.05,0.46
H,3.13,0.60
H,3.06,0.04
H,4.22,1.92
H,5.60,1.44
H,3.75,1.84
H,3.45,1.57
H,3.33,2.10
H,5.64,1.55
H,4.55,2.00
H,4.66,0.66
H,3.37,0.31
H,4.12,0.06
H,2.35,0.27
H,4.32,1.44
H,5.16,2.22
H,3.67,0.11
H,2.93,2.03
H,3.00,0.01
H,3.54,2.58
H,4.29,2.17
H,5.63,0.93
H,4.82,1.89
H,4.55,0.46
H,4.56,1.90
H,3.96,1.96
H,5.27,0.49
H,5.82,0.56
H,5.57,1.08
H,4.94,0.69
H,2.49,1.60
H,3.57,1.99
H,3.53,0.04
H,2.52,0.24
H,4.11,1.62
H,5.29,0.26
H,2.96,1.04
H,3.54,1.23
H,3.60,2.19
H,2.03,0.04
H,5.30,1.17
H,2.46,1.27
H,4.28,2.13
H,5.22,2.04
H,4.05,2.42
H,4.19,0.94
H,3.93,1.17
H,5.08,0.77
H,2.59,2.01
H,3.56,0.76
H,4.30,0.87
H,4.79,0.19
H,4.96,2.26
H,5.25,0.69
H,3.95,2.40
H,3.49,1.76
H,4.69,0.72
H,3.00,1.82
H,5.01,0.42
H,3.38,2.44
H,3.02,0.50
H,2.71,1.63
H,4.61,2.52
H,3.92,1.45
H,5.40,1.18
H,3.55,2.40
H,4.66,0.11
H,4.15,0.52
H,5.20,1.69
H,3.96,2.07
H,2.82,1.61
H,5.61,0.65
H,5.54,0.30
H,4.18,0.62
H,2.29,1.25
H,4.86,1.66
H,2.12,0.07
H,2.22,0.97
H,2.95,1.52
H,2.69,0.47
H,5.45,0.98
H,3.50,0.24
H,5.04,0.85
H,2.96,1.84
H,4.75,0.95
H,5.53,1.32
H,2.58,1.20
H,4.32,1.27
H,4.13,1.77
He,8.30,6.40
He,7.77,9.55
He,9.51,7.00
He,8.82,6.86
He,9.63,8.21
He,9.37,7.17
He,7.33,8.06
He,8.13,9.09
He,8.52,6.80
He,7.78,5.78
He,6.27,7.23
He,8.29,9.09
He,7.37,9.63
He,9.59,8.34
He,8.21,5.97
He,7.27,9.20
He,8.89,7.32
He,7.82,6.91
He,6.81,6.26
He,8.07,6.05
He,8.77,7.11
He,9.70,7.27
He,9.06,6.93
He,6.60,6.96
He,9.18,8.51
He,8.03,6.11
He,9.82,7.89
He,8.57,8.57
He,6.87,8.63
He,9.26,6.43
He,7.83,9.24
He,7.89,8.64
He,6.92,7.97
He,8.58,6.99
He,8.60,8.13
He,6.38,8.52
He,7.41,9.24
He,9.32,8.32
He,6.77,7.45
He,8.22,7.52
He,6.32,6.88
He,7.98,9.23
He,9.46,7.15
He,8.64,9.30
He,8.49,8.69
He,7.50,7.28
He,8.82,7.90
He,9.38,6.97
He,8.29,6.67
He,6.96,6.50
He,7.28,6.32
He,6.43,7.59
He,9.33,7.17
He,7.30,6.42
He,6.48,7.74
He,6.54,6.58
He,8.26,6.79
He,6.55,8.85
He,7.36,7.17
He,6.35,8.22
He,8.02,5.86
He,6.53,7.08
He,9.06,6.93
He,8.06,8.26
He,8.02,9.02
He,8.24,6.26
He,7.66,7.99
He,6.63,7.50
He,6.16,8.07
He,6.82,6.06
He,6.76,6.72
He,8.94,6.95
He,7.87,7.29
He,7.14,7.36
He,8.62,6.92
He,8.44,8.96
He,8.01,6.72
He,7.95,8.16
He,7.67,7.14
He,6.74,7.24
He,9.00,7.42
He,5.94,7.56
He,7.15,8.84
He,7.83,8.33
He,6.79,6.15
He,8.76,7.02
He,8.59,8.91
He,9.00,7.75
He,8.81,6.35
He,9.45,8.80
He,9.64,7.33
He,7.02,9.16
He,8.39,6.24
He,8.48,8.63
He,9.57,8.23
He,6.43,7.05
He,8.07,6.25
He,6.61,7.06
He,6.96,8.89
He,7.15,6.72
Li,8.18,2.02
Li,8.59,2.54
Li,5.75,3.46
Li,6.51,3.69
Li,7.73,1.82
Li,6.62,3.29
Li,6.60,1.33
Li,7.16,1.83
Li,7.77,3.15
Li,6.18,2.64
Li,7.48,2.40
Li,6.77,3.73
Li,6.85,0.75
Li,8.31,2.76
Li,7.42,0.70
Li,6.05,1.45
Li,6.27,4.33
Li,5.98,3.17
Li,9.00,1.67
Li,6.53,0.99
Li,7.75,2.46
Li,7.48,1.33
Li,6.40,2.65
Li,8.43,2.01
Li,6.36,3.94
Li,5.50,1.99
Li,7.75,3.20
Li,8.42,4.26
Li,6.94,1.86
Li,8.46,2.44
Li,6.45,1.82
Li,6.12,3.53
Li,8.31,1.43
Li,9.01,1.75
Li,6.13,3.44
Li,7.50,3.34
Li,8.79,1.67
Li,6.07,3.83
Li,6.42,2.46
Li,7.71,3.77
Li,7.87,4.02
Li,8.18,3.73
Li,9.17,2.78
Li,7.43,0.79
Li,7.47,4.64
Li,7.85,2.44
Li,6.52,3.79
Li,7.37,2.58
Li,8.88,3.39
Li,7.87,1.64
Li,6.03,3.54
Li,8.04,3.79
Li,6.40,1.59
Li,8.35,1.48
Li,7.97,1.92
Li,6.86,1.34
Li,8.72,2.89
Li,6.23,3.95
Li,5.70,2.21
Li,6.64,0.85
Li,8.19,4.43
Li,8.47,3.34
Li,8.37,1.24
Li,7.96,3.91
Li,5.99,1.63
Li,7.74,2.39
Li,6.08,1.86
Li,8.77,2.01
Li,6.46,3.84
Li,7.62,4.18
Li,5.63,3.33
Li,8.20,3.08
Li,7.88,3.76
Li,6.03,2.90
Li,8.23,1.10
Li,5.64,3.20
Li,6.18,2.89
Li,5.49,1.90
Li,7.89,2.95
Li,8.58,2.08
Li,6.73,3.52
Li,8.06,3.44
Li,7.04,1.93
Li,6.75,3.46
Li,8.20,2.57
Li,7.41,4.59
Li,5.95,2.23
Li,9.04,2.02
Li,7.40,4.17
Li,5.43,2.18
Li,7.29,4.35
Li,8.47,2.34
Li,7.61,3.44
Li,8.45,2.82
Li,7.18,0.93
Li,9.16,2.73
Li,5.80,2.27
Li,6.04,1.52
Li,5.80,2.67
Li,6.13,2.78
Be,1.65,6.33
