
 Sim No:, 0,, N:, 1.0,, d:, 0.13 
Step No:, 76,, N_bact:, 246,, N_food:,0 
 
Symbol:, pos x:, pos y: 
H,3.20,5.03
H,4.91,5.00
H,8.77,4.93
H,9.96,1.39
H,3.32,6.64
H,0.42,7.16
H,1.76,4.57
H,1.51,3.03
H,1.10,4.97
H,4.72,4.94
H,1.22,2.12
H,2.50,1.92
H,1.48,4.98
H,2.61,5.00
H,7.79,4.96
H,2.29,8.31
H,8.48,1.03
H,3.43,4.96
H,7.13,5.06
H,1.41,1.68
H,5.47,2.44
H,1.13,3.25
H,6.45,8.80
H,4.17,5.44
H,4.78,5.00
H,1.09,5.05
H,9.54,5.31
H,3.70,8.69
H,7.91,2.95
H,8.82,5.01
H,7.73,4.95
H,2.28,8.80
H,1.74,3.77
H,7.75,2.48
H,8.16,4.96
H,8.78,9.41
H,1.61,4.80
H,2.82,5.03
H,4.36,4.99
H,8.53,5.00
H,6.64,1.77
H,0.79,2.04
H,1.55,4.94
H,0.89,4.95
H,6.26,4.95
H,6.16,8.56
H,6.24,3.72
H,1.46,4.94
H,8.53,5.00
H,2.83,5.03
H,3.78,8.92
H,7.59,0.97
H,8.76,1.95
H,6.49,5.02
H,3.29,0.54
H,8.29,0.17
H,6.62,0.73
H,1.05,1.45
H,1.50,0.78
H,8.56,4.96
H,3.39,4.99
H,9.15,6.55
H,3.70,6.80
H,0.09,0.22
H,8.58,4.95
H,2.84,5.03
H,2.00,5.07
H,0.29,3.39
H,6.29,4.34
H,8.12,9.25
H,2.52,5.01
H,2.25,4.99
H,6.34,1.59
H,0.80,1.08
H,4.19,0.19
H,2.84,4.99
H,7.84,0.13
H,5.92,5.00
H,8.72,4.96
H,3.74,3.79
H,1.47,4.94
H,2.84,5.03
H,5.43,0.07
H,2.84,5.03
H,9.99,5.05
H,3.72,5.84
H,5.01,9.68
H,1.35,1.65
H,6.79,8.26
H,7.77,7.38
H,8.72,6.67
H,7.76,4.96
H,8.12,4.96
H,2.35,3.73
H,4.40,3.90
H,2.69,0.33
H,6.98,0.36
H,3.20,5.06
H,9.81,9.64
H,8.11,4.96
H,5.93,4.78
H,6.66,4.65
H,5.68,2.89
H,6.79,4.95
H,4.74,0.34
H,0.36,0.83
H,2.84,4.99
H,2.45,2.43
H,3.25,6.29
H,6.85,5.04
H,0.00,1.30
H,3.38,5.02
H,4.36,3.42
H,0.45,4.38
H,1.11,5.87
H,8.18,7.82
H,2.85,4.99
H,2.86,4.99
H,9.18,2.88
H,1.09,9.58
H,5.02,5.03
H,3.08,4.95
H,9.28,5.60
H,7.46,1.71
H,8.71,3.65
H,1.04,5.03
H,2.90,3.78
H,8.55,8.19
H,5.08,7.40
H,8.33,5.03
H,8.81,5.01
H,6.02,5.03
H,8.91,2.17
H,2.72,1.06
H,9.64,0.26
H,0.61,4.89
H,1.56,4.94
H,6.98,2.81
H,6.92,7.31
H,2.53,5.01
H,3.15,2.41
H,2.85,5.03
H,4.20,7.10
H,2.34,1.83
H,4.98,4.95
H,0.82,2.71
H,4.73,4.94
H,7.12,5.06
H,5.18,8.43
H,7.28,5.03
H,7.71,4.95
H,8.57,4.95
H,2.85,5.03
H,8.85,5.39
H,2.85,4.99
H,0.66,6.61
H,3.45,1.63
H,6.34,0.73
H,4.98,4.95
H,0.53,4.94
H,2.87,5.03
H,4.36,0.34
H,2.62,3.23
H,4.79,5.00
H,4.37,4.99
H,0.51,5.02
H,5.22,6.11
H,2.85,4.99
H,6.88,4.99
H,0.35,1.99
H,0.24,1.62
H,7.98,7.68
H,7.79,8.01
H,3.53,3.43
H,9.82,2.66
H,7.72,4.95
H,8.52,5.00
H,0.18,1.17
H,2.84,4.99
H,2.47,4.95
H,0.97,0.55
H,1.68,4.24
H,5.83,8.25
H,8.11,4.96
H,8.10,4.96
H,4.98,4.95
H,2.87,4.99
H,3.17,3.98
H,7.11,5.06
H,5.12,4.86
H,9.82,2.66
H,0.51,5.02
H,8.54,1.68
H,8.57,4.95
H,2.84,5.03
H,2.85,5.03
H,8.11,4.96
H,7.14,5.70
H,0.24,5.96
H,1.95,3.09
H,8.48,3.66
H,9.71,8.14
H,8.94,6.17
H,2.86,5.03
H,1.85,1.15
H,0.09,4.23
H,2.88,4.99
H,3.04,1.54
H,4.79,5.00
H,7.37,3.04
H,4.37,4.99
H,2.88,9.56
H,9.29,0.83
H,6.16,1.57
H,5.42,0.07
H,7.11,8.08
H,4.28,4.56
H,4.23,6.94
H,5.01,5.03
H,0.88,2.40
H,2.54,5.01
H,0.81,3.05
H,7.14,7.91
H,5.06,4.92
H,7.12,5.06
H,2.29,8.80
H,1.62,4.80
H,4.37,4.99
H,6.25,4.95
H,7.58,0.97
H,0.81,1.08
H,7.83,0.13
H,9.80,9.64
H,0.37,0.83
H,2.46,2.43
H,2.87,4.99
H,9.17,2.88
H,1.05,5.03
H,8.80,5.01
H,0.83,2.71
H,4.74,4.94
H,2.63,3.23
H,5.21,6.11
H,2.85,4.99
H,3.18,3.98
H,4.24,6.94
