
 Sim No:, 1,, N:, 1.0,, d:, 0.13 
Step No:, 19,, N_bact:, 938,, N_food:,3 
 
Symbol:, pos x:, pos y: 
H,5.42,0.07
H,2.71,5.20
H,0.96,5.04
H,1.60,0.92
H,3.75,0.16
H,0.07,3.81
H,1.53,4.95
H,3.55,3.64
H,3.41,5.00
H,3.13,4.97
H,1.64,8.29
H,2.67,1.08
H,4.89,0.84
H,0.83,0.38
H,8.67,1.09
H,0.86,3.92
H,1.93,7.84
H,0.16,2.79
H,3.22,2.79
H,4.95,5.85
H,6.37,5.52
H,1.94,5.20
H,3.68,4.21
H,0.69,0.33
H,2.02,7.60
H,4.62,0.01
H,4.02,3.20
H,1.73,3.19
H,4.79,2.68
H,0.69,9.76
H,3.56,4.44
H,1.75,5.01
H,1.19,6.69
H,1.30,5.40
H,2.54,3.13
H,1.77,5.04
H,2.58,2.45
H,0.02,1.41
H,1.88,2.56
H,3.95,3.89
H,1.27,5.33
H,1.57,1.05
H,0.15,3.21
H,5.35,2.43
H,1.38,1.44
H,6.65,9.67
H,3.99,5.03
H,7.15,4.99
H,4.80,3.06
H,7.06,8.73
H,9.29,6.89
H,9.72,7.55
H,6.54,5.03
H,4.29,5.58
H,2.35,9.87
H,8.87,8.10
H,8.09,5.35
H,6.60,4.97
H,6.00,6.93
H,4.93,5.01
H,7.56,2.82
H,4.14,9.79
H,1.91,5.18
H,9.57,9.69
H,3.48,9.94
H,6.46,9.07
H,8.10,3.51
H,8.65,7.48
H,8.12,8.63
H,8.83,8.74
H,3.32,9.02
H,6.88,9.16
H,5.81,5.02
H,5.81,6.85
H,5.28,6.97
H,8.14,7.49
H,5.60,7.65
H,2.58,9.78
H,5.24,6.69
H,9.32,7.52
H,8.59,3.30
H,2.59,6.04
H,9.23,5.74
H,9.01,6.24
H,8.33,1.75
H,1.42,1.18
H,6.39,5.03
H,8.83,7.39
H,3.19,9.27
H,8.95,4.95
H,7.68,5.27
H,8.52,4.54
H,7.00,4.93
H,5.92,4.94
H,9.24,1.99
H,8.55,4.96
H,6.58,6.96
H,6.99,9.85
H,6.43,8.74
H,7.18,7.99
H,6.04,8.45
H,1.96,5.95
H,4.75,9.86
H,8.58,1.55
H,5.53,3.35
H,8.26,5.31
H,5.70,3.04
H,7.81,6.38
H,7.41,0.88
H,3.96,3.78
H,1.91,7.17
H,1.74,3.30
H,3.48,4.94
H,7.68,1.24
H,4.41,2.88
H,6.13,8.62
H,2.40,2.00
H,1.74,3.30
H,1.84,2.06
H,3.77,4.70
H,0.41,6.80
H,5.24,0.86
H,2.91,5.05
H,1.81,3.20
H,7.35,5.06
H,3.34,1.59
H,7.26,1.32
H,1.95,2.57
H,2.95,5.02
H,1.60,8.01
H,0.45,0.21
H,4.87,5.73
H,5.10,4.90
H,3.48,2.44
H,2.06,3.01
H,2.61,5.02
H,2.70,0.69
H,0.19,8.60
H,7.71,0.87
H,5.12,3.93
H,6.49,9.01
H,2.67,5.06
H,7.20,1.80
H,6.69,1.63
H,3.42,7.90
H,0.39,6.83
H,2.80,4.35
H,3.99,3.41
H,5.65,4.99
H,0.86,5.72
H,2.19,1.80
H,4.98,6.08
H,3.28,4.98
H,4.97,5.00
H,2.52,0.10
H,0.79,1.02
H,8.59,6.75
H,7.05,3.53
H,5.21,0.85
H,9.11,1.87
H,0.24,0.04
H,4.60,0.76
H,5.35,8.50
H,5.74,8.83
H,8.98,9.59
H,9.13,5.04
H,9.79,9.24
H,9.30,8.45
H,8.24,5.01
H,9.90,7.75
H,8.61,9.62
H,7.27,7.86
H,8.39,8.31
H,1.70,7.62
H,8.25,8.40
H,5.19,8.84
H,6.68,6.77
H,7.70,9.10
H,7.12,9.99
H,8.02,8.34
H,0.09,7.61
H,9.83,9.99
H,5.62,9.64
H,9.64,7.58
H,8.56,6.54
H,9.23,8.37
H,6.00,7.13
H,6.47,9.86
H,5.57,7.72
H,4.45,7.28
H,7.02,6.99
H,8.62,7.15
H,7.69,4.61
H,9.24,2.11
H,4.28,9.63
H,2.33,9.43
H,9.42,6.58
H,9.20,5.31
H,4.49,8.04
H,7.29,9.86
H,8.64,5.41
H,5.95,6.73
H,6.91,7.27
H,9.46,7.16
H,7.18,6.69
H,9.44,1.63
H,7.21,8.18
H,7.75,9.17
H,6.94,7.00
H,6.33,2.73
H,9.81,8.63
H,5.51,4.93
H,4.26,6.27
H,6.18,7.99
H,4.51,6.91
H,0.55,0.22
H,1.26,5.02
H,2.95,4.96
H,1.40,8.15
H,0.62,3.87
H,7.53,3.32
H,0.00,4.94
H,3.28,4.85
H,1.51,7.87
H,4.49,6.69
H,0.73,8.56
H,1.64,4.94
H,1.58,5.68
H,1.64,6.68
H,3.95,5.00
H,1.41,7.26
H,0.74,7.89
H,3.02,9.03
H,7.04,4.10
H,3.63,2.46
H,3.61,2.08
H,3.33,3.91
H,1.40,4.97
H,2.43,3.36
H,3.57,0.42
H,2.13,2.24
H,9.83,3.47
H,5.61,3.56
H,8.81,8.97
H,2.13,3.21
H,4.76,5.00
H,7.54,4.54
H,1.87,8.75
H,1.85,4.78
H,4.77,5.02
H,9.25,5.00
H,6.18,6.45
H,1.33,5.86
H,3.31,9.72
H,6.40,5.47
H,1.71,4.98
H,8.17,0.26
H,4.58,2.39
H,4.21,5.03
H,0.11,3.44
H,3.75,5.05
H,2.03,6.14
H,0.65,0.36
H,1.19,9.52
H,7.16,1.44
H,2.54,8.85
H,1.58,7.76
H,4.65,5.05
H,8.58,5.54
H,6.97,9.32
H,9.63,7.56
H,4.79,6.84
H,6.44,1.92
H,8.77,5.53
H,0.54,0.50
H,4.29,3.64
H,1.41,1.24
H,5.10,9.84
H,9.17,7.38
H,3.67,9.89
H,3.47,4.02
H,4.62,1.35
H,1.79,9.80
H,1.98,5.84
H,0.81,5.10
H,4.10,4.98
H,5.06,8.39
H,8.36,4.98
H,3.94,6.14
H,6.72,0.52
H,1.99,1.99
H,2.70,1.25
H,7.28,6.47
H,9.35,9.63
H,2.82,8.78
H,5.11,8.10
H,2.05,2.91
H,3.02,5.20
H,3.97,0.18
H,1.14,4.77
H,6.38,5.03
H,8.82,4.16
H,5.85,0.02
H,8.40,5.05
H,2.29,4.14
H,9.41,1.63
H,4.68,9.69
H,5.29,5.83
H,5.52,6.47
H,3.22,4.21
H,0.44,9.92
H,6.84,6.89
H,3.92,1.78
H,1.93,4.94
H,4.31,3.12
H,9.93,5.09
H,9.54,9.21
H,3.80,3.75
H,4.98,5.12
H,7.43,4.01
H,2.88,0.95
H,4.59,9.36
H,0.93,4.00
H,5.20,9.52
H,4.01,0.90
H,0.97,3.16
H,9.89,9.60
H,7.01,2.64
H,0.09,1.66
H,0.55,0.10
H,3.45,0.17
H,1.38,6.59
H,7.38,4.97
H,0.94,4.98
H,3.27,5.06
H,5.39,9.02
H,3.16,1.90
H,2.88,6.74
H,6.40,8.54
H,5.15,3.73
H,2.18,8.04
H,5.11,7.73
H,2.53,0.98
H,4.84,9.23
H,6.39,9.95
H,7.07,5.04
H,8.89,9.70
H,0.15,2.19
H,1.17,3.15
H,8.13,8.98
H,6.93,4.34
H,6.43,5.03
H,7.39,7.25
H,3.84,9.76
H,1.10,7.47
H,2.01,5.30
H,1.15,4.96
H,3.70,1.62
H,0.83,8.80
H,8.60,8.81
H,6.51,5.02
H,1.62,7.85
H,2.98,4.60
H,7.34,9.72
H,1.44,1.24
H,2.41,1.59
H,6.10,1.87
H,7.41,9.24
H,7.63,4.84
H,0.63,8.99
H,4.55,2.28
H,9.69,4.70
H,0.40,6.22
H,0.07,7.51
H,0.26,9.99
H,2.92,5.05
H,3.81,5.01
H,5.14,2.31
H,2.84,1.10
H,8.96,7.73
H,7.31,2.81
H,3.60,8.35
H,4.72,0.84
H,1.44,6.47
H,7.04,0.68
