
 Sim No:, 0,, N:, 1.0,, d:, 0.13 
Step No:, 59,, N_bact:, 425,, N_food:,0 
 
Symbol:, pos x:, pos y: 
H,7.41,4.99
H,8.01,2.54
H,1.31,6.07
H,2.82,4.99
H,5.04,1.15
H,3.24,5.23
H,5.93,3.05
H,3.89,1.81
H,5.69,5.05
H,8.86,5.04
H,6.90,1.75
H,4.24,4.93
H,1.69,0.14
H,3.32,1.73
H,0.36,4.96
H,4.96,4.95
H,4.22,9.37
H,1.54,4.94
H,5.65,7.50
H,8.46,5.03
H,3.20,5.03
H,9.04,9.60
H,3.49,5.00
H,7.92,3.71
H,6.72,8.88
H,3.96,0.83
H,1.10,4.97
H,2.06,5.64
H,4.91,5.00
H,8.35,5.03
H,0.51,7.42
H,3.04,9.96
H,4.44,6.34
H,9.34,4.95
H,3.43,5.04
H,3.08,7.58
H,8.77,4.93
H,8.37,6.13
H,5.64,7.94
H,5.06,5.03
H,5.77,0.91
H,0.63,4.66
H,4.76,5.00
H,1.33,5.47
H,2.86,0.93
H,9.78,5.03
H,0.20,1.20
H,0.27,7.47
H,0.05,3.51
H,3.81,9.94
H,3.93,3.65
H,1.55,5.33
H,3.26,7.47
H,3.10,0.48
H,1.10,4.97
H,5.68,5.02
H,1.30,1.27
H,3.40,5.28
H,3.60,6.99
H,7.85,4.99
H,6.02,8.34
H,7.42,5.06
H,0.72,2.26
H,0.53,6.67
H,6.33,8.48
H,5.72,4.93
H,1.80,4.95
H,5.96,8.33
H,1.46,9.66
H,3.03,0.66
H,2.83,4.99
H,4.79,6.03
H,3.48,0.47
H,8.29,6.53
H,3.86,8.39
H,3.74,4.96
H,2.97,1.71
H,8.55,1.85
H,6.87,8.58
H,2.81,5.03
H,7.39,5.01
H,1.29,2.38
H,9.18,9.76
H,3.07,4.95
H,2.06,9.44
H,8.73,4.96
H,7.30,3.34
H,3.17,2.03
H,4.34,6.96
H,8.26,4.05
H,1.48,4.98
H,1.53,5.74
H,9.91,9.44
H,8.59,4.95
H,4.95,5.69
H,1.36,3.54
H,9.34,4.99
H,8.17,4.97
H,9.64,8.96
H,7.78,8.36
H,1.56,5.05
H,5.54,2.01
H,8.30,2.13
H,7.79,4.96
H,4.13,5.24
H,0.33,8.54
H,7.99,3.01
H,4.30,6.00
H,3.41,7.89
H,9.44,2.36
H,6.59,1.63
H,2.09,6.21
H,5.42,8.24
H,5.68,5.02
H,6.32,4.55
H,7.19,0.22
H,8.32,4.99
H,4.31,0.80
H,3.43,4.96
H,7.13,5.06
H,3.92,6.09
H,6.17,0.05
H,1.26,0.87
H,6.58,8.17
H,1.91,0.91
H,8.35,5.44
H,4.77,5.00
H,8.98,5.01
H,6.19,5.03
H,7.52,1.75
H,3.39,0.99
H,5.67,5.05
H,8.54,5.00
H,0.66,1.34
H,5.65,3.13
H,5.13,5.06
H,1.55,7.89
H,4.66,5.86
H,1.39,0.13
H,8.97,5.01
H,8.77,6.47
H,6.00,3.32
H,0.83,8.10
H,1.07,8.04
H,5.34,7.03
H,9.68,4.26
H,6.18,5.03
H,8.53,5.00
H,2.50,5.01
H,3.17,4.96
H,8.17,1.85
H,7.87,9.20
H,8.97,5.01
H,3.43,4.50
H,4.13,6.55
H,9.92,1.26
H,4.79,4.67
H,3.90,7.33
H,5.72,5.03
H,4.77,5.69
H,0.71,9.70
H,6.28,6.95
H,8.59,6.39
H,9.27,3.57
H,5.85,6.23
H,4.78,5.00
H,3.06,1.04
H,7.11,8.12
H,4.52,5.04
H,8.96,5.01
H,8.86,1.01
H,3.29,3.79
H,7.68,5.04
H,8.49,4.99
H,9.72,7.86
H,4.57,1.14
H,7.93,6.20
H,4.46,4.94
H,3.63,1.85
H,6.25,2.89
H,6.42,5.04
H,0.92,4.00
H,4.90,6.88
H,7.89,3.53
H,2.18,2.21
H,4.50,6.39
H,2.08,0.82
H,3.25,1.49
H,6.45,4.17
H,9.54,0.88
H,0.73,3.88
H,2.14,1.02
H,7.74,5.03
H,3.26,5.03
H,4.53,5.04
H,1.91,3.04
H,3.59,8.17
H,9.11,3.06
H,8.34,5.03
H,6.82,6.57
H,7.73,4.95
H,3.46,8.16
H,0.58,1.74
H,0.66,1.46
H,5.64,8.34
H,5.67,5.05
H,6.39,8.77
H,5.53,6.11
H,7.74,5.03
H,2.83,4.99
H,3.33,0.65
H,5.32,5.82
H,3.12,9.70
H,3.60,5.03
H,1.19,5.05
H,5.87,1.80
H,8.16,4.96
H,7.61,7.45
H,8.16,4.97
H,7.78,4.96
H,5.94,6.64
H,8.00,1.93
H,2.99,9.40
H,5.50,4.96
H,9.45,1.68
H,9.27,5.18
H,6.21,0.13
H,1.55,3.36
H,3.46,7.68
H,3.73,4.96
